id,left,top,right,bottom,X,Y,SHETRAN_ID,LC_0,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_9,LC_10,LC_11,LC_12,LC_14,LC_20,LC_21
16,360775.000099999830127,607775.000099999830127,365775.000099999830127,602775.000099999830127,363275.000099999830127,605275.000099999713711,"0","0","248","34353","0","35","0","0","1161","0","0","4203","0","0","0","0"
17,360775.000099999830127,602775.000099999830127,365775.000099999830127,597775.000099999830127,363275.000099999830127,600275.000099999713711,"0","0","3","18523","0","0","0","0","977","790","66","19641","0","0","0","0"
18,360775.000099999830127,597775.000099999830127,365775.000099999830127,592775.000099999830127,363275.000099999830127,595275.000099999713711,"0","0","2040","30175","0","1175","0","0","1384","97","380","4459","0","0","0","290"
19,360775.000099999830127,592775.000099999830127,365775.000099999830127,587775.000099999830127,363275.000099999830127,590275.000099999713711,"0","0","1229","32718","0","297","0","0","888","0","1629","169","0","3048","0","22"
20,360775.000099999830127,587775.000099999830127,365775.000099999830127,582775.000099999830127,363275.000099999830127,585275.000099999713711,"0","0","46","37842","0","0","0","0","685","1217","195","0","0","0","0","15"
21,360775.000099999830127,582775.000099999830127,365775.000099999830127,577775.000099999830127,363275.000099999830127,580275.000099999713711,"0","0","57","22753","0","0","0","0","4207","4850","14","8119","0","0","0","0"
22,360775.000099999830127,577775.000099999830127,365775.000099999830127,572775.000099999830127,363275.000099999830127,575275.000099999713711,"-9999","0","123","33054","0","0","0","0","4167","67","2511","0","41","0","0","37"
23,360775.000099999830127,572775.000099999830127,365775.000099999830127,567775.000099999830127,363275.000099999830127,570275.000099999713711,"0","0","3948","15987","0","2717","0","0","15014","154","1335","0","494","0","13","338"
24,360775.000099999830127,567775.000099999830127,365775.000099999830127,562775.000099999830127,363275.000099999830127,565275.000099999713711,"0","0","2286","2204","6","27657","0","0","7157","0","0","0","0","11","0","679"
25,360775.000099999830127,562775.000099999830127,365775.000099999830127,557775.000099999830127,363275.000099999830127,560275.000099999713711,"0","0","937","6756","0","10206","0","0","20568","788","20","0","334","70","0","321"
26,360775.000099999830127,557775.000099999830127,365775.000099999830127,552775.000099999830127,363275.000099999830127,555275.000099999713711,"0","0","0","1497","0","0","0","0","3549","34879","75","0","0","0","0","0"
27,360775.000099999830127,552775.000099999830127,365775.000099999830127,547775.000099999830127,363275.000099999830127,550275.000099999713711,"0","0","0","0","0","7","0","0","12133","26866","0","994","0","0","0","0"
28,360775.000099999830127,547775.000099999830127,365775.000099999830127,542775.000099999830127,363275.000099999830127,545275.000099999713711,"0","0","201","0","0","1205","0","0","33229","1472","0","3877","0","0","0","16"
29,360775.000099999830127,542775.000099999830127,365775.000099999830127,537775.000099999830127,363275.000099999830127,540275.000099999713711,"0","0","323","170","65","10556","0","0","16508","0","0","12143","9","0","0","226"
30,360775.000099999830127,537775.000099999830127,365775.000099999830127,532775.000099999830127,363275.000099999830127,535275.000099999713711,"0","0","1897","369","0","22804","0","0","13501","0","198","725","0","0","0","506"
31,365775.000099999830127,607775.000099999830127,370775.000099999830127,602775.000099999830127,368275.000099999830127,605275.000099999713711,"0","0","0","12902","0","0","0","0","10407","0","0","16691","0","0","0","0"
32,365775.000099999830127,602775.000099999830127,370775.000099999830127,597775.000099999830127,368275.000099999830127,600275.000099999713711,"0","0","0","9362","0","42","0","203","1611","116","795","27871","0","0","0","0"
33,365775.000099999830127,597775.000099999830127,370775.000099999830127,592775.000099999830127,368275.000099999830127,595275.000099999713711,"0","0","0","17312","0","0","0","0","2018","0","1049","19618","0","0","0","3"
34,365775.000099999830127,592775.000099999830127,370775.000099999830127,587775.000099999830127,368275.000099999830127,590275.000099999713711,"0","0","940","29177","0","59","0","0","298","0","748","0","0","8683","0","95"
35,365775.000099999830127,587775.000099999830127,370775.000099999830127,582775.000099999830127,368275.000099999830127,585275.000099999713711,"0","0","1722","30064","0","57","0","0","816","0","898","0","0","6125","0","318"
36,365775.000099999830127,582775.000099999830127,370775.000099999830127,577775.000099999830127,368275.000099999830127,580275.000099999713711,"0","0","0","37514","0","0","0","0","147","214","1656","469","0","0","0","0"
